3M UNITED KINGDOM PUBLIC LIMITED COMPANY,1123045,14,8
A & P FALMOUTH LIMITED,103287,34,29
A KHAN RESTAURANTS LIMITED,8132730,-3,0
A.J.N. STEELSTOCK LTD.,689647,16.7,-9.5
A3D2 Ltd.,3506401,-5,-7
Abbotsford Care (Glenrothes) Ltd.,SC370558,-1.3,0
Aberlour Child Care Trust,SC312912,7,0
ABINGDON FLOORING LIMITED,4923718,11.3,6.8
Academies Enterprise Trust,6625091,24.3,34.6
Accenture (UK) Ltd.,4757301,16.7,10.2
ACCESSIBLE TRANSPORT GROUP CONTRACT SERVICES LIMITED,8339288,1,0
Acenta Steel Ltd.,3725308,7.2,3.4
ACHILLES INFORMATION LIMITED,SC137975,23,5
Aci Worldwide (Emea) Ltd.,2310474,11.9,20.3
Acorns Children's Hospice Trust,2036103,10.5,2.4
ADARE INTERNATIONAL LIMITED,1610897,24.7,13.6
ADNAMS PLC,31114,10,9
Advanced Travel Partners UK Ltd,2515255,30,26
"Advisory, Conciliation and Arbitration Service",,7.1,0
AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,880328,21.4,21.2
AECOM LIMITED,1846493,21.5,21.9
AFLEX HOSE LIMITED,1088141,2.9,-3.5
Age Concern Essex,4309519,25.9,6.4
Age UK North Tyneside,1763579,4.7,0
Aim Aviation (Jecco) Ltd.,1004276,29.9,34.3
Air Business Ltd.,1977067,4.8,8.9
Airbus Defence And Space Ltd.,2449259,19.1,20.4
Airbus Operations Ltd.,3468788,2.3,-0.3
AKQA LIMITED,2964394,32.6,30.5
ALCOHOL & DRUGS ACTION,SC094162,0.7,2.1
Aldermore Bank PLC,947662,29.9,35.7
ALDI STORES LIMITED,2321869,11.5,4.8
Alliance Disposables Ltd.,3747333,0.7,-4.5
Alliance In Partnership Ltd.,3577003,25.1,11.9
ALLIANCE MEDICAL LIMITED,2128897,20,21
ALPHA PLUS GROUP LIMITED,438111,16.5,14.8
ALTON CARS LIMITED,1469019,30,29.1
Amber Valley Borough Council,,5.4,-15.6
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE UK LIMITED,2190074,22,27.5
AMEC FOSTER WHEELER GROUP LIMITED,4612748,21.3,26.8
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,1120437,24.8,31.3
AMERICAN GOLF DISCOUNT CENTRE LIMITED,1720832,-5.8,-1.2
Amersham and Wycombe College,,11.4,16.3
AMETHYST ACADEMIES TRUST,8310900,8.3,18.7
AMTICO INTERNATIONAL LIMITED,2303706,8.4,-1.3
Anchor Group Services Ltd,5992301,4,2
ANCHOR SECURITY SERVICES LIMITED,2548101,4,2
ANGARD STAFFING SOLUTIONS LIMITED,5770579,0.9,2.5
Anglian Water Services Ltd.,2366656,10.1,16.9
Apollo Fire Detectors Ltd.,1483208,27,17
APPH LIMITED,1972451,-2,-11
Arjo Wiggins Fine Papers Ltd.,961440,3.2,0.7
Arnold Clark Automobiles Ltd.,SC036386,14.6,10.8
Arnold Clark Finance Ltd..,SC039597,-5.2,-15
ARRK EUROPE LIMITED,3418673,7.2,-2.1
Arthur David (Food With Service) Ltd.,2059424,9,0
"Arts Club(London),Ltd.(The)",47802,-14.8,0
Asd Ltd.,1370600,-10.6,-15.4
ASDA STORES LIMITED,464777,12.5,8.9
Ashfield District Council,,1.7,0
Ashfords LLP,OC342432,22.8,20.3
Ashgate Hospicecare,2263980,0.5,-19
ASM ASSEMBLY SYSTEMS UK HOLDING LIMITED,7459630,18.5,18.6
ASM ASSEMBLY SYSTEMS WEYMOUTH LIMITED,921662,18.5,18.6
ASPIRE ACHIEVE ADVANCE LIMITED,7095168,4.8,11.1
ASPIRE HOUSING LIMITED,IP031218,8.2,12.9
Aston Manor Ltd.,1699439,6,-16
Atb Group UK Ltd.,6241009,30,22
Audley Court Ltd.,5160167,48.6,1
AUDLEY TRAVEL GROUP LIMITED,3190720,25.6,25.6
Autism East Midlands,2053860,4.6,0
AUTISM SUSSEX LIMITED,3149907,-2,-2
Autism Together,2658268,-0.7,0
AUTOSCAN (UK) LIMITED,6834446,-8.5,-13.5
AUTO-SLEEPERS GROUP LIMITED,3978237,18.8,18.8
AUTO-SLEEPERS INVESTMENTS LIMITED,6874019,18.8,18.8
Avante Care And Support Ltd.,2565021,18.2,8.8
AVIVA EMPLOYMENT SERVICES LIMITED,3280551,27,26.4
Aviva Investors Employment Services Ltd.,3884917,23.8,21
Awe PLC,2763902,12.9,16.7
AXA GLOBAL HEALTHCARE (UK) LIMITED,3039521,13.1,-0.5
AXA GLOBAL SERVICES UK LIMITED,1854856,17,21
AXA ICAS LIMITED,2548573,15.2,3.2
AXA INVESTMENT MANAGERS LIMITED,3886111,29.7,27.2
Axa Ppp Healthcare Group Ltd.,3148346,26.9,7.6
AXA SERVICES LIMITED,446043,25.2,27
AXA UK PLC,2937724,20.6,20.4
Axminster Tool Centre Ltd,3326979,10,5
AXON SOLUTIONS LIMITED,2976395,24.7,13.2
Aylesbury College,,4.8,19
B & Q PLC,973387,8.8,2
B&CE HOLDINGS LIMITED,377361,29,22
B.E. WEDGE HOLDINGS LIMITED,336600,12.3,17.7
BAE SYSTEMS (Operations) Limited,1996687,9.8,7.8
Bae Systems Applied Intelligence Limited,1337451,17.9,21
BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,414948,16.9,18.6
BAE SYSTEMS GLOBAL COMBAT SYSTEMS MUNITIONS LIMITED,1842252,7.7,6.8
BAE SYSTEMS MARINE LIMITED,229770,16.1,16.1
BAE Systems Plc,1470151,17.3,15.6
BAE SYSTEMS SURFACE SHIPS LIMITED,6160534,8,8.4
Bags Etc Ltd.,4773542,26.8,0
BAILEY EMPLOYMENT SERVICES LIMITED,2831657,-3.9,-4.8
Baker Tilly Management Ltd.,3077999,14.8,21.5
BAKKAVOR FOODS LIMITED,1060806,11,7.8
BAKKAVOR FRESH COOK LIMITED,5251496,6.5,5.8
BALANS RESTAURANTS LIMITED,8410036,5.9,11.1
Bank of England,,21,24.2
Barclays Bank PLC,1026167,48,43.5
BARCLAYS BANK UK PLC,9740322,26,14.2
BARCLAYS SERVICES LIMITED,1767980,25.8,29.9
BARFOOTS OF BOTLEY LIMITED,2383478,26.8,-4.8
Baringa Partners LLP,OC303471,19.8,23.5
Barking & Dagenham College,,8,15
Barnardo's,61625,14.1,8.8
Barnet Council,,-5,0
Barnfield College,,11.5,16.2
Basildon District Council,,2.9,-6.5
Basingstoke & Deane Borough Council,,-2.2,-8
BATHSTORE.COM LIMITED,2240475,11,9
Batley Multi Academy Trust,7732537,22.9,49.1
BCM LIMITED,2741673,-0.9,-0.8
BDO SERVICES LIMITED,7020023,18.3,21.2
Be Modern Ltd.,829005,2.5,-27.7
Be Wiser Insurance Services Ltd,6097813,10,3.8
Beacon Bingo Ltd.,2095117,25.7,11.5
BEATSON CLARK LIMITED,110186,-0.4,9.4
Bedfordshire Police,,11.1,14.6
BELLS OF LAZONBY LIMITED,500802,9.3,4.4
Berkshire College of Agriculture,,-2.8,1.1
Berneslai Homes Ltd,,9.5,13
Bhid Group Ltd.,9003127,12.6,12.8
Biffa Environmental Municipal Services Ltd.,905800,-18,-5.7
Biffa Municipal Ltd.,4321212,-8,0.8
BIFFA WASTE SERVICES LIMITED,946107,-1.4,3.6
Bighams Ltd.,3233191,-3,-2
BILFINGER INDUSTRIAL SERVICES UK LIMITED,5384376,32.6,39.9
Bird & Bird LLP,OC340318,14.5,27.6
Birmingham Community Leisure Trust,,-2.4,3.2
BLACK COUNTRY HOUSING GROUP LIMITED,IP21157R,27.2,31.7
BLACK SWAN INTERNATIONAL LIMITED,2621410,4.1,5
Blackburn With Darwen Borough Council,,0.7,-2.8
BLUEPRINT RECRUITMENT LIMITED,SC317704,18.6,10.5
BMB CLOTHING LIMITED,4090249,6.1,4.5
Bodycote Heat Treatments Ltd.,1025652,18.9,9.6
Bohunt Education Trust,7535642,27,29
Bolsover District Council,,4,0
Bon Accord Care Ltd.,SC416826,-3.6,-1.2
BONDCARE WILLINGTON LIMITED,7737973,10.4,0
Boreal Ltd.,NI027859,0,0
Borough of Poole,,2.9,-2.2
BOUGHEY DISTRIBUTION LIMITED,797672,20.2,10.7
Bournemouth Borough Council,,2.3,-2.9
Bowdraper Ltd.,1344739,5.3,0
BP CHEMICALS LIMITED,194971,-0.1,-2.8
BP EXPLORATION OPERATING COMPANY LIMITED,305943,30.5,28.3
BP EXPRESS SHOPPING LIMITED,211858,3.5,3.1
BP OIL UK LIMITED,446915,16.4,14.6
BP P.L.C.,102498,22.6,20.8
BPDTS,,2.3,-5.5
BPHA LIMITED,IP26751R,0,0
Bracknell Forest Council,,16.3,23.3
Bradford Diocesan Academies Trust,8258994,23.2,44
BRAEFORGE LIMITED,3437953,7.1,0.8
Braintree District Council,,-2.8,-22
Brampton Manor Trust,7540236,21.7,22
Branded Garden Products Ltd.,358372,23.2,11.1
BREWIN DOLPHIN LIMITED,2135876,38.2,40.7
Breyer Group PLC,782931,25,16.2
Brighton Hove and Sussex Sixth Form College,,8.2,19.4
BRIGHTSTAR 20:20 UK LIMITED,8401611,30.6,10.1
Bristol City Council,,4.1,13.5
BRISTOL WESSEX BILLING SERVICES LIMITED,4143955,3.8,2.7
BRIT GROUP SERVICES LIMITED,2245562,31.7,31.2
British Broadcasting Corporation,RC000057,10.7,9.3
BRITISH ENERGY LIMITED,SC162273,26.3,25.4
BRITISH GAS SERVICES (COMMERCIAL) LIMITED,7385984,34.8,44.1
BRITISH GAS SERVICES LIMITED,3141243,22.6,37
BRITISH GAS TRADING LIMITED,3078711,-0.6,8.5
British Medical Association,8848,13.9,13.6
BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),432511,14.1,20.2
Broadland District Council,,26.8,25.5
BROMFORD HOUSING GROUP LIMITED,IP29996R,7.1,11.4
Brooksby Melton College,,12.1,20
Broxtowe Borough Council,,6.6,0
Brunel Healthcare Manufacturing Ltd.,4504895,15.1,13.2
Brunelcare,601847,18.7,7.3
Brunning And Price Ltd.,1543132,9.8,0
Bsw Heating Ltd,1047746,33.7,46.5
Bulloughs Cleaning Services Ltd.,2101304,-0.6,0
BUOYANT UPHOLSTERY LIMITED,3690496,1.3,-4.4
BUPA CARE HOMES (AKW) LIMITED,4122364,0.6,3.1
BUPA CARE HOMES (ANS) LIMITED,1960990,1.2,2.2
BUPA CARE HOMES (BNH) LIMITED,2079932,2.1,5
BUPA CARE HOMES (CARRICK) LIMITED,SC151487,-2.5,0.6
BUPA CARE HOMES (CFCHOMES) LIMITED,2006738,-1.1,1.2
BUPA CARE HOMES (CFHCARE) LIMITED,2741070,11.7,3
BUPA CARE HOMES (GL) LIMITED,1587972,-0.2,2.1
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,2216429,-0.5,0.4
BUPA CARE HOMES LIMITED,10257888,0.8,1.8
BUPA INSURANCE SERVICES LIMITED,3829851,19.1,6.9
BUPA OCCUPATIONAL HEALTH LIMITED,631336,25.1,28.5
Burnley Borough Council,,2.3,7.9
Butcher's Pet Care Ltd.,1716195,4,0
BWB CONSULTING LIMITED,5265863,20.4,26.9
C P PHARMACEUTICALS LIMITED,482106,35.9,21
CADBURY UK LIMITED,155256,11.6,9.8
CADENT GAS LIMITED,10080864,8,13
Cafcass,,4.8,0
Calderdale College,,4.8,1.1
CALLCREDIT LIMITED,3961870,34.1,34.8
Cambridgeshire Fire & Rescue Service,,18.6,13.9
Cambridgeshire Police,,10.9,13.1
Campbell's Prime Meat Ltd.,SC051565,-21.9,-13.1
Camphill Village Trust Ltd.(The),539694,12,4.8
Canefield Ltd,4448780,8.2,2
"CANFORD SCHOOL,LIMITED",190956,16.2,14.6
CAPGEMINI UK PLC,943935,19.4,17
CAPITAL (HAIR AND BEAUTY) LIMITED,530201,40.4,27.9
CARAVAN CLUB LIMITED(THE),646027,11.8,-3.6
Cardinal Security Ltd.,4714467,-11,-4
CARE AT HOME SERVICES (SOUTH EAST) LIMITED,5317196,0,0
Care Quality Commission,,1.2,-1
CAREROOM LIMITED,3614275,29,8.7
Carter Synergy Ltd.,176807,38,39.4
Cartrefi Cymunedol Gwynedd Cyfyngedig,IP30776R,6.9,-0.7
Cashino Gaming Ltd.,1038403,-0.7,-1.8
Casna Ltd.,1130951,-2.1,0
Castell Howell Foods Ltd.,2269053,-8.7,-8.2
CATERING UK LIMITED,3266861,-3.2,-3
Catholic Agency For Overseas Development,9387398,8.3,7.6
Cca International (UK) Ltd,2824494,11,13
CENTAUR SERVICES LIMITED,787385,-5.7,-2.6
Center Parcs (Operating Co.) Ltd.,4379585,13,13.2
Center Parcs Ltd.,1908230,18.7,13.2
CENTRAL AND CECIL HOUSING TRUST,IP27693R,24.7,19.1
CENTRAL ENGLAND CO-OPERATIVE LIMITED,IP10143R,18.1,7.5
Central Sussex College,,10.4,11.2
Centrica PLC,3033654,16.6,12
CENTRICA STORAGE LIMITED,3294124,30.9,36.8
CENTURY HEALTHCARE LIMITED,2128699,5.7,5.4
CERTAS ENERGY UK LIMITED,4168225,21.8,24.3
CFS MANAGEMENT SERVICES LIMITED,5564787,24,8
CGF MARKETING SERVICES LIMITED,2151319,38,0.4
CGI IT UK LIMITED,947968,12.8,17
CHARCOALBLUE LLP,OC373258,24.8,29.9
CHARLES WILSON ENGINEERS LIMITED,1393410,16.2,1.1
Charlies Stores Ltd.,1761459,11,6
Charnwood Borough Council,,12.8,17
Chartwells Hounslow (Feeding Futures) Ltd.,8989091,25.6,12
Chelmsford Star Co-Operative Society Ltd.,IP000973,13.7,0
Cheltenham & Gloucester PLC,2299428,16.7,18.8
Chemring Countermeasures Ltd.,218229,25.5,10.5
Chemring Energetics UK Ltd.,SC237472,27,28
Cherry Lane Retail Centres Ltd.,1603760,2.5,0
Cheshire Constabulary,,14.7,26.2
Chetham's School of Music,,18,37
Chichester College,,14.3,24.4
Chichester District Council,,3.6,3.4
Chiltern District Council,,15,21.9
CHOICE HOTELS LIMITED,1365211,1.8,0
Chorley Borough Council,,1.2,0
CHRIS HAYTER TRANSPORT LIMITED,1183217,9.4,18.3
CHROMALLOY UNITED KINGDOM LIMITED,971349,17.1,-2.8
CHURCHILL ACADEMY ,7687722,12.2,5.1
CINEWORLD CINEMAS LIMITED,1915767,7.8,2.1
Circadian Trust,5384234,-9.7,-10
CITRIX R&D LIMITED,9713256,20.1,23.2
Citrix Systems UK Ltd.,2937203,28,31.2
City College Coventry,,14.9,27.7
City of Wolverhampton College,,10.8,27.8
Clean Linen Services Ltd.,87908,20.5,0
CLEARVIEW CLEANING SERVICES (HEREFORD) LIMITED,4128774,3.4,0
CLEVELAND CABLE COMPANY LIMITED,5538824,2.5,-6.1
Cleveland Fire Brigade,7583911,6.3,3
Cleveland Police,,8,0
Clydesdale Bank PLC,SC001111,37,36
Cms Cameron Mckenna Nabarro Olswang Services Ltd.,7451655,17.3,32.8
Coca-Cola European Partners Great Britain Ltd.,27173,10.1,10.7
COLAS LIMITED,2644726,3.1,0
College of Haringey Enfield & North East London,,0.4,0
COLLEGE OF POLICING LIMITED,8235199,17.3,18.5
COMMONWEALTH WAR GRAVES COMMISSION,RC000136,-5,0
Community Lives Consortium,9442336,3.4,0
Companies House,,13,18
"COMPASS GROUP, UK AND IRELAND LIMITED",2272248,17.2,14
CONGREGATION OF THE LITTLE SISTERS OF THE POOR TRUSTEE COMPANYLIMITED(THE),867949,1.3,5.5
Connect Academy Trust,10192252,29.4,40
CONTINENTAL LANDSCAPES LIMITED,2416889,-9.5,-25.6
CONTRACTOR UMBRELLA LIMITED,4324081,14,5
CONVATEC LIMITED,1309639,13,12.4
COOK TRADING LIMITED,4611064,17.9,10.8
COOPER TIRE & RUBBER COMPANY EUROPE LIMITED,150903,12,15
COOPER TOPCO LIMITED,9472834,0,0
Cooperatieve Rabobank U.A.,FC011780,20.2,22.2
CO-OPERATIVE GROUP LIMITED,IP00525R,18.9,12.8
COOPLAND & SON (SCARBOROUGH) LIMITED,465947,19.2,14
Coral Racing Ltd.,541600,14,4
Corby Borough Council,,9.2,11.2
Cornerstone Community Care,SC070762,-2.7,0
Corporation of Lloyd's,,27.7,32.1
COSTA LIMITED,1270695,7.4,0
COSTAIN ENGINEERING & CONSTRUCTION LIMITED,2440829,26.6,27
COSTAIN LIMITED,610201,10,12.1
Cotswold Motor Group Ltd.,3028787,17.7,16.2
COUTTS & COMPANY,36695,28.2,24.4
Coventry Building Society,MUT0148B,33.1,31.3
Coveris Flexibles UK Ltd.,2925612,10,16
COWI UK LIMITED,2962837,29,23
COYLE PERSONNEL PLC,2281209,24.7,9.4
Cp Woburn (Operating Co.) Ltd.,7656412,9.3,13.2
Crawley Borough Council,,1.6,0.1
Creamline Dairies Ltd.,396381,8.7,-2.6
CREATIVE LYNX LIMITED,4028821,12,9
CROCKETT AND JONES LIMITED,451921,26.4,22.3
Crofty Multi Academy Trust,10354924,28.6,50
CROSS KEYS HOMES LIMITED,4557701,0.5,2.4
Crown Prosecution Services,,10.6,25.3
CRYSTAL MARTIN INTERNATIONAL LIMITED,806915,6,1.2
Crystal Services PLC,1812016,7,4
Cundall Ltd.,5491742,26,29.6
D.H. MANSFIELD LIMITED,3557665,-1.6,0.5
"D.J.SQUIRE & CO.,LIMITED",316151,12.8,1.5
Daisy Communications Ltd.,4145329,26.7,33
DAISY CORPORATE SERVICES TRADING LIMITED,2888250,22.1,21.3
DAISY IT MANAGED SERVICES LIMITED,1983540,28.1,31.1
DAISY IT SERVICES LIMITED,1466217,18.3,22.8
DALE CARE LIMITED,2795946,0,0
Dana UK Axle Ltd.,6088792,10,10
Daniel Stewarts and Melville College Incl Mary Erksine School,18594852,19.1,42.4
DANIEL THWAITES PUBLIC LIMITED COMPANY,51702,14.3,3.8
Darlington College Of Technology,,11.3,30
Dartford Borough Council,,23.7,27.9
DATA INSTALLATION & NETWORKING SERVICES LIMITED,2802029,14.3,13.1
DAU DRAEXLMAIER AUTOMOTIVE UK LIMITED,3485431,-2.2,-9.2
DE LA RUE INTERNATIONAL LIMITED.,720284,10,9.7
DECIDEBLOOM LIMITED,3003995,5,1
DELOITTE LLP,OC303675,17,12.1
DELOITTE MCS LIMITED,3311052,20.4,17.8
DELTA DISPLAY LIMITED,2627811,24.8,30.6
Dennis & Robinson Ltd.,460938,-11.1,-6.7
"Department for Business, Energy & Industrial Strategy",,12,15
Department for Communities and Local Government,,5.9,9.8
Department for Culture Media & Sport,,3.3,8.2
Department for Education,,5.3,5.9
Department For Exiting The European Union,,15.3,8.9
Department for International Development,,8.5,6.8
Department for International Trade,,3.6,2.7
Department For Transport,,16.9,22.6
Department Of Health,,14.2,13.3
Department Of Work And Pensions,,5.3,0
"Department, for Environment, Food and Rural Affairs",,11.5,12.1
Derbyshire Fire & Rescue Service,,3.8,2.5
DERWEN COLLEGE,8615826,4.2,3.2
Devon & Cornwall Autistic Community Trust,1662611,2.2,0
DFS Furniture PLC,7236769,19,14
Dhu Health Care C.I.C.,5834163,5.6,0.1
Diageo Great Britain Ltd.,507652,4.1,-9.8
DIAGEO SCOTLAND LIMITED,SC000750,11.3,16.7
DIESEL (LONDON) LIMITED,3005257,6.2,-2
Dingbro Ltd.,SC079886,6.4,10.3
Diocese Of Southwell And Nottingham Multi-Academy Trust,8738949,22.4,10
Diodes Zetex Semiconductors Ltd.,2387949,26.5,31.5
Disability Challengers,4300724,-2.9,0
DL Insurance Services Ltd.,3001989,18.7,14.7
Dnata Ltd.,3091040,1.5,1.1
Don & Low Ltd.,SC005657,13.4,7.8
DONALDSON TIMBER ENGINEERING LIMITED,SC099182,5.7,-10.3
DON-BUR (BODIES AND TRAILERS) LIMITED,1571914,0.8,0.5
DONCASTER CHILDREN'S SERVICES TRUST LIMITED,8805834,13.1,8.2
Doncaster Metropolitan Borough Council,,15.7,21.1
DONE BROTHERS (CASH BETTING) LIMITED,1277703,6.5,0
